Education Level,Institution Type,Gender,Age,Device,IT Student,Location,Financial Condition,Internet Type,Network Type,Flexibility Level
2,0,1,0.7777777777777777,2,0,1,0,1,2,1
2,0,0,0.7777777777777777,1,0,1,0,0,2,1
0,1,0,0.5,1,0,1,0,1,2,1
1,0,0,0.11111111111111105,1,0,1,0,0,2,1
1,0,0,0.5,1,0,1,1,0,1,0
1,0,1,0.11111111111111105,1,0,1,1,0,1,0
1,0,1,0.11111111111111105,1,0,1,0,1,2,0
1,0,1,0.11111111111111105,1,0,1,0,1,2,1
0,1,1,0.5,1,0,1,0,1,2,0
1,0,1,0.11111111111111105,1,0,1,0,0,1,1
2,1,0,0.5,1,0,1,0,1,2,0
0,0,0,0.5,1,0,1,0,1,2,0
1,0,1,0.11111111111111105,1,1,1,0,0,1,1
0,0,0,0.5,1,0,0,0,1,2,0
1,0,0,0.11111111111111105,1,0,1,1,0,1,1
1,0,1,0.11111111111111105,1,0,1,1,1,2,0
2,1,0,1.0,0,1,1,1,0,2,0
2,1,0,0.7777777777777777,1,0,0,0,1,2,0
0,0,0,0.5,1,0,1,0,1,2,1
1,0,0,0.05555555555555558,1,0,1,2,1,2,1
1,1,1,0.05555555555555558,1,0,1,0,0,2,0
0,0,0,0.5,1,0,0,0,0,1,0
1,0,0,0.11111111111111105,1,0,1,0,0,1,1
0,1,1,0.5,1,0,1,0,1,2,1
1,0,1,0.11111111111111105,1,0,1,0,0,2,1
2,0,1,1.0,0,1,1,0,1,2,1
1,0,0,0.05555555555555558,1,0,1,0,0,1,1
0,0,0,0.5,1,0,0,0,0,2,0
2,0,1,0.7777777777777777,1,1,1,0,0,2,1
2,0,0,0.7777777777777777,1,1,1,0,1,1,1
0,1,0,0.7777777777777777,1,1,1,0,0,2,1
1,0,0,0.05555555555555558,1,0,1,1,0,1,1
2,1,0,1.0,1,0,0,1,0,2,0
1,1,0,0.11111111111111105,1,0,1,0,1,1,0
2,0,1,0.7777777777777777,0,0,1,0,1,2,1
2,0,0,0.7777777777777777,1,1,1,0,1,2,1
